R,1,6000,6000,6000,0,	 6000,0,A
R,2,6000,6000,6000,18000,6000,0,A
R,3,6000,6000,6000,0,	 6000,6000,A
R,4,6000,6000,6000,18000,6000,6000,A
R,5,6000,6000,6000,0,	 6000,12000,A
R,6,6000,6000,6000,6000,6000,12000,A
R,7,6000,6000,6000,12000,6000,12000,A
R,8,6000,6000,6000,18000,6000,12000,A
R,9,6000,6000,6000,0,	 6000,18000,A
R,10,6000,6000,6000,6000,6000,18000,A
R,11,6000,6000,6000,12000,6000,18000,A
R,12,6000,6000,6000,18000,6000,18000,A
R,13,6000,6000,6000,0,	 0,0,A
R,14,6000,6000,6000,18000,0,0,A
R,15,6000,6000,6000,0,	 0,6000,A
R,16,6000,6000,6000,18000,0,6000,A
R,17,6000,6000,6000,0,	 0,12000,A
R,18,6000,6000,6000,6000,0,12000,A
R,19,6000,6000,6000,12000,0,12000,A
R,20,6000,6000,6000,18000,0,12000,A
R,21,6000,6000,6000,0,	 0,18000,A
R,22,6000,6000,6000,6000,0,18000,A
R,23,6000,6000,6000,12000,0,18000,A
R,24,6000,6000,6000,18000,0,18000,A
